,Player,2023/24,2023/24(*)
1.,Stephen Curry,"$51,915,615","$51,915,615"
2.,Kevin Durant,"$47,649,433","$47,649,433"
3.,Nikola Jokic,"$47,607,350","$47,607,350"
3.,LeBron James,"$47,607,350","$47,607,350"
3.,Joel Embiid,"$47,607,350","$47,607,350"
6.,Bradley Beal,"$46,741,590","$46,741,590"
7.,Paul George,"$45,640,084","$45,640,084"
7.,Kawhi Leonard,"$45,640,084","$45,640,084"
7.,Giannis Antetokounmpo,"$45,640,084","$45,640,084"
7.,Damian Lillard,"$45,640,084","$45,640,084"
11.,Jimmy Butler,"$45,183,960","$45,183,960"
12.,Klay Thompson,"$43,219,440","$43,219,440"
13.,Rudy Gobert,"$41,000,000","$41,000,000"
14.,Fred VanVleet,"$40,806,300","$40,806,300"
15.,Anthony Davis,"$40,600,080","$40,600,080"
16.,Trae Young,"$40,064,220","$40,064,220"
16.,Zach LaVine,"$40,064,220","$40,064,220"
16.,Luka Doncic,"$40,064,220","$40,064,220"
19.,Tobias Harris,"$39,270,150","$39,270,150"
20.,Kyrie Irving,"$38,037,037","$38,037,037"
21.,Ben Simmons,"$37,893,408","$37,893,408"
21.,Pascal Siakam,"$37,893,408","$37,893,408"
23.,Jrue Holiday,"$37,620,347","$37,620,347"
24.,Kristaps Porzingis,"$36,016,200","$36,016,200"
24.,Karl-Anthony Towns,"$36,016,200","$36,016,200"
24.,Devin Booker,"$36,016,200","$36,016,200"
27.,CJ McCollum,"$35,802,469","$35,802,469"
28.,James Harden,"$35,680,595","$35,680,595"
29.,Darius Garland,"$34,005,250","$34,005,250"
29.,Ja Morant,"$34,005,250","$34,005,250"
29.,Zion Williamson,"$34,005,250","$34,005,250"
32.,Jamal Murray,"$33,833,400","$33,833,400"
32.,Brandon Ingram,"$33,833,400","$33,833,400"
34.,Michael Porter,"$33,386,850","$33,386,850"
34.,Shai Gilgeous-Alexander,"$33,386,850","$33,386,850"
36.,Gordon Hayward,"$33,319,397","$33,319,397"
37.,Donovan Mitchell,"$33,162,030","$33,162,030"
38.,Jayson Tatum,"$32,600,060","$32,600,060"
38.,Bam Adebayo,"$32,600,060","$32,600,060"
38.,De'Aaron Fox,"$32,600,060","$32,600,060"
41.,Deandre Ayton,"$32,459,438","$32,459,438"
42.,Jaylen Brown,"$31,830,357","$31,830,357"
43.,Chris Paul,"$30,800,000","$30,800,000"
44.,Kyle Lowry,"$29,682,540","$29,682,540"
45.,Khris Middleton,"$29,320,988","$29,320,988"
46.,Domantas Sabonis,"$29,300,000","$29,300,000"
47.,DeMar DeRozan,"$28,600,000","$28,600,000"
48.,Jordan Poole,"$27,955,357","$27,955,357"
49.,Jerami Grant,"$27,586,207","$27,586,207"
50.,Jaren Jackson Jr,"$27,102,202","$27,102,202"
51.,Tyler Herro,"$27,000,000","$27,000,000"
52.,Julius Randle,"$26,943,840","$26,943,840"
53.,Jalen Brunson,"$26,346,666","$26,346,666"
54.,Cameron Johnson,"$25,679,348","$25,679,348"
55.,Kyle Kuzma,"$25,568,182","$25,568,182"
56.,John Collins,"$25,340,000","$25,340,000"
57.,Brook Lopez,"$25,000,000","$25,000,000"
58.,Mike Conley,"$24,360,000","$24,360,000"
59.,Andrew Wiggins,"$24,330,357","$24,330,357"
60.,Anfernee Simons,"$24,107,143","$24,107,143"
61.,RJ Barrett,"$23,883,929","$23,883,929"
62.,Jordan Clarkson,"$23,487,629","$23,487,629"
63.,Terry Rozier,"$23,205,221","$23,205,221"
64.,Dillon Brooks,"$22,627,671","$22,627,671"
65.,Malcolm Brogdon,"$22,500,000","$22,500,000"
66.,Draymond Green,"$22,321,429","$22,321,429"
67.,Bruce Brown,"$22,000,000","$22,000,000"
68.,Mikal Bridges,"$21,700,000","$21,700,000"
69.,Aaron Gordon,"$21,266,182","$21,266,182"
70.,Myles Turner,"$20,975,000","$20,975,000"
71.,Clint Capela,"$20,616,000","$20,616,000"
72.,Lonzo Ball,"$20,465,117","$20,465,117"
73.,Spencer Dinwiddie,"$20,411,797","$20,411,797"
74.,De'Andre Hunter,"$20,089,286","$20,089,286"
75.,Jarrett Allen,"$20,000,000","$20,000,000"
75.,Bojan Bogdanovic,"$20,000,000","$20,000,000"
75.,Keldon Johnson,"$20,000,000","$20,000,000"
78.,Joe Harris,"$19,928,571","$19,928,571"
79.,Jakob Poeltl,"$19,500,000","$19,500,000"
80.,Buddy Hield,"$19,321,859","$19,321,859"
81.,Derrick White,"$18,857,143","$18,857,143"
81.,Evan Fournier,"$18,857,143","$18,857,143"
83.,Bogdan Bogdanovic,"$18,700,000","$18,700,000"
84.,OG Anunoby,"$18,642,857","$18,642,857"
85.,Marcus Smart,"$18,583,713","$18,583,713"
86.,Gary Trent Jr,"$18,560,000","$18,560,000"
87.,Nikola Vucevic,"$18,518,519","$18,518,519"
88.,Dejounte Murray,"$18,214,000","$18,214,000"
89.,Duncan Robinson,"$18,154,000","$18,154,000"
90.,Norman Powell,"$18,000,000","$18,000,000"
91.,Tim Hardaway Jr,"$17,897,728","$17,897,728"
92.,Marcus Morris,"$17,612,280","$17,612,280"
93.,Collin Sexton,"$17,525,000","$17,525,000"
94.,Jonathan Isaac,"$17,400,000","$17,400,000"
95.,D'Angelo Russell,"$17,307,693","$17,307,693"
96.,Lauri Markkanen,"$17,259,999","$17,259,999"
97.,Davis Bertans,"$17,000,000","$17,000,000"
97.,Markelle Fultz,"$17,000,000","$17,000,000"
97.,Harrison Barnes,"$17,000,000","$17,000,000"
100.,Jusuf Nurkic,"$16,875,000","$16,875,000"
101.,PJ Washington,"$16,847,826","$16,847,826"
102.,Kevin Porter,"$15,860,000","$15,860,000"
103.,Rui Hachimura,"$15,740,741","$15,740,741"
104.,Mitchell Robinson,"$15,681,818","$15,681,818"
105.,Kevin Huerter,"$15,669,643","$15,669,643"
106.,Jonas Valanciunas,"$15,435,000","$15,435,000"
107.,Caris LeVert,"$15,384,616","$15,384,616"
108.,Luguentz Dort,"$15,277,778","$15,277,778"
109.,Luke Kennard,"$14,763,636","$14,763,636"
110.,Kentavious Caldwell-Pope,"$14,704,938","$14,704,938"
111.,Max Strus,"$14,487,684","$14,487,684"
112.,Reggie Bullock,"$14,210,528","$14,210,528"
113.,Doug McDermott,"$14,000,000","$14,000,000"
113.,Tyus Jones,"$14,000,000","$14,000,000"
115.,Dorian Finney-Smith,"$13,932,008","$13,932,008"
116.,Anthony Edwards,"$13,534,817","$13,534,817"
117.,Wendell Carter,"$13,050,000","$13,050,000"
118.,Gary Harris,"$13,000,000","$13,000,000"
119.,Josh Hart,"$12,960,000","$12,960,000"
120.,Naz Reid,"$12,950,400","$12,950,400"
121.,Steven Adams,"$12,600,000","$12,600,000"
122.,Brandon Clarke,"$12,500,000","$12,500,000"
122.,Marvin Bagley,"$12,500,000","$12,500,000"
124.,Dennis Schroeder,"$12,405,000","$12,405,000"
124.,Grant Williams,"$12,405,000","$12,405,000"
126.,Daniel Gafford,"$12,402,000","$12,402,000"
127.,Kelly Olynyk,"$12,195,122","$12,195,122"
128.,Victor Wembanyama,"$12,160,632","$12,160,632"
129.,James Wiseman,"$12,119,440","$12,119,440"
130.,Devonte Graham,"$12,100,000","$12,100,000"
131.,Richaun Holmes,"$12,046,020","$12,046,020"
132.,Austin Reaves,"$12,015,150","$12,015,150"
132.,Herb Jones,"$12,015,150","$12,015,150"
134.,Chris Boucher,"$11,750,000","$11,750,000"
135.,Bobby Portis,"$11,710,818","$11,710,818"
135.,Nicolas Batum,"$11,710,818","$11,710,818"
137.,Robert Covington,"$11,692,308","$11,692,308"
138.,Paolo Banchero,"$11,608,080","$11,608,080"
139.,Robert Williams,"$11,571,429","$11,571,429"
140.,Coby White,"$11,111,111","$11,111,111"
141.,Cade Cunningham,"$11,055,360","$11,055,360"
142.,Talen Horton-Tucker,"$11,020,000","$11,020,000"
143.,PJ Tucker,"$11,014,500","$11,014,500"
144.,Maxi Kleber,"$11,000,000","$11,000,000"
144.,Joe Ingles,"$11,000,000","$11,000,000"
146.,Ivica Zubac,"$10,933,333","$10,933,333"
147.,LaMelo Ball,"$10,900,635","$10,900,635"
148.,Donte DiVincenzo,"$10,900,000","$10,900,000"
149.,Brandon Miller,"$10,880,364","$10,880,364"
150.,Terance Mann,"$10,576,923","$10,576,923"
151.,Gabe Vincent,"$10,500,000","$10,500,000"
151.,Matisse Thybulle,"$10,500,000","$10,500,000"
153.,Alec Burks,"$10,489,600","$10,489,600"
154.,Chet Holmgren,"$10,386,000","$10,386,000"
155.,Larry Nance Jr,"$10,375,000","$10,375,000"
156.,Landry Shamet,"$10,250,000","$10,250,000"
157.,Al Horford,"$10,000,000","$10,000,000"
158.,Malik Monk,"$9,945,830","$9,945,830"
159.,Tre Jones,"$9,895,833","$9,895,833"
160.,Jalen Green,"$9,891,480","$9,891,480"
161.,Patrick Williams,"$9,835,881","$9,835,881"
162.,Monte Morris,"$9,800,926","$9,800,926"
163.,Scoot Henderson,"$9,770,904","$9,770,904"
164.,Nicolas Claxton,"$9,625,000","$9,625,000"
165.,Royce O'Neale,"$9,500,000","$9,500,000"
166.,Alex Caruso,"$9,460,000","$9,460,000"
167.,Victor Oladipo,"$9,450,000","$9,450,000"
168.,Pat Connaughton,"$9,423,869","$9,423,869"
169.,Cameron Payne,"$9,391,467","$9,391,467"
170.,Jabari Smith,"$9,326,520","$9,326,520"
171.,Isaiah Hartenstein,"$9,245,121","$9,245,121"
172.,Kyle Anderson,"$9,219,512","$9,219,512"
173.,Daniel Theis,"$9,108,387","$9,108,387"
174.,Thaddeus Young,"$9,010,371","$9,010,371"
175.,Grayson Allen,"$8,925,000","$8,925,000"
176.,Isaac Okoro,"$8,920,794","$8,920,794"
177.,Evan Mobley,"$8,882,640","$8,882,640"
178.,Amen Thompson,"$8,809,284","$8,809,284"
179.,Georges Niang,"$8,800,000","$8,800,000"
180.,Gary Payton II,"$8,715,000","$8,715,000"
181.,TJ McConnell,"$8,700,000","$8,700,000"
182.,Keegan Murray,"$8,409,000","$8,409,000"
183.,Delon Wright,"$8,195,122","$8,195,122"
184.,Onyeka Okongwu,"$8,109,063","$8,109,063"
185.,Scottie Barnes,"$8,008,680","$8,008,680"
186.,Jock Landale,"$8,000,000","$8,000,000"
186.,Jeff Green,"$8,000,000","$8,000,000"
186.,Moritz Wagner,"$8,000,000","$8,000,000"
186.,De'Anthony Melton,"$8,000,000","$8,000,000"
186.,Trey Lyles,"$8,000,000","$8,000,000"
191.,Ausar Thompson,"$7,977,420","$7,977,420"
192.,Miles Bridges,"$7,921,300","$7,921,300"
193.,Danilo Gallinari,"$7,850,062","$7,850,062"
194.,Vasilije Micic,"$7,723,000","$7,723,000"
194.,Paul Reed,"$7,723,000","$7,723,000"
196.,Zach Collins,"$7,700,000","$7,700,000"
197.,Jaden Ivey,"$7,614,480","$7,614,480"
198.,Cody Martin,"$7,560,000","$7,560,000"
199.,Patrick Mills,"$7,537,766","$7,537,766"
200.,Kevon Looney,"$7,500,000","$7,500,000"
201.,Killian Hayes,"$7,413,955","$7,413,955"
202.,Jalen Suggs,"$7,252,080","$7,252,080"
203.,Anthony Black,"$7,245,480","$7,245,480"
204.,Jae'Sean Tate,"$7,000,000","$7,000,000"
205.,Khem Birch,"$6,985,000","$6,985,000"
206.,Bennedict Mathurin,"$6,916,080","$6,916,080"
207.,Obi Toppin,"$6,803,012","$6,803,012"
208.,Caleb Martin,"$6,802,950","$6,802,950"
209.,Cedi Osman,"$6,718,842","$6,718,842"
210.,Bilal Coulibaly,"$6,614,256","$6,614,256"
211.,Josh Giddey,"$6,587,040","$6,587,040"
212.,Ayo Dosunmu,"$6,481,482","$6,481,482"
213.,Rudy Gay,"$6,479,000","$6,479,000"
214.,Sasha Vezenkov,"$6,341,464","$6,341,464"
215.,Shaedon Sharpe,"$6,313,800","$6,313,800"
216.,Otto Porter,"$6,300,000","$6,300,000"
217.,Deni Avdija,"$6,263,188","$6,263,188"
218.,Nassir Little,"$6,250,000","$6,250,000"
219.,Bismack Biyombo,"$6,194,075","$6,194,075"
220.,Jevon Carter,"$6,190,476","$6,190,476"
221.,Kenrich Williams,"$6,175,000","$6,175,000"
222.,Jarace Walker,"$6,059,460","$6,059,460"
223.,Jonathan Kuminga,"$6,012,840","$6,012,840"
224.,Devin Vassell,"$5,887,899","$5,887,899"
225.,Tyrese Haliburton,"$5,808,435","$5,808,435"
226.,Dyson Daniels,"$5,784,120","$5,784,120"
227.,Kira Lewis,"$5,722,116","$5,722,116"
228.,Dean Wade,"$5,709,877","$5,709,877"
229.,Aaron Nesmith,"$5,634,257","$5,634,257"
230.,Aleksej Pokusevski,"$5,574,809","$5,574,809"
231.,Taylor Hendricks,"$5,569,872","$5,569,872"
232.,Shake Milton,"$5,552,938","$5,552,938"
233.,JaVale McGee,"$5,544,772","$5,544,772"
234.,Cole Anthony,"$5,539,771","$5,539,771"
235.,Franz Wagner,"$5,508,720","$5,508,720"
236.,Furkan Korkmaz,"$5,370,370","$5,370,370"
237.,Josh Primo,"$5,341,600","$5,341,600"
238.,Jeremy Sochan,"$5,316,960","$5,316,960"
239.,Cason Wallace,"$5,291,352","$5,291,352"
240.,Isaiah Stewart,"$5,266,713","$5,266,713"
241.,Chuma Okeke,"$5,266,712","$5,266,712"
242.,Davion Mitchell,"$5,063,640","$5,063,640"
243.,Johnny Davis,"$5,050,800","$5,050,800"
244.,Jalen Smith,"$5,043,773","$5,043,773"
245.,Jett Howard,"$5,026,824","$5,026,824"
246.,Reggie Jackson,"$5,000,000","$5,000,000"
246.,Mason Plumlee,"$5,000,000","$5,000,000"
248.,Ziaire Williams,"$4,810,200","$4,810,200"
249.,Ousmane Dieng,"$4,798,440","$4,798,440"
250.,Taj Gibson,"$4,776,302","$4,776,302"
251.,Dereck Lively,"$4,775,628","$4,775,628"
252.,Josh Green,"$4,765,339","$4,765,339"
253.,Nickeil Alexander-Walker,"$4,687,500","$4,687,500"
254.,Jarred Vanderbilt,"$4,640,000","$4,640,000"
255.,James Bouknight,"$4,570,080","$4,570,080"
256.,Jalen Williams,"$4,558,680","$4,558,680"
257.,Saddiq Bey,"$4,556,983","$4,556,983"
258.,Gradey Dick,"$4,536,708","$4,536,708"
259.,Taurean Prince,"$4,516,000","$4,516,000"
259.,Jalen McDaniels,"$4,516,000","$4,516,000"
261.,Precious Achiuwa,"$4,379,526","$4,379,526"
262.,Tyrese Maxey,"$4,343,920","$4,343,920"
263.,Jalen Duren,"$4,330,680","$4,330,680"
264.,Danuel House,"$4,310,250","$4,310,250"
265.,Jordan Hawkins,"$4,310,196","$4,310,196"
266.,Mike Muscala,"$4,308,297","$4,308,297"
267.,Zeke Nnaji,"$4,306,281","$4,306,281"
268.,Immanuel Quickley,"$4,171,548","$4,171,548"
269.,Chris Duarte,"$4,124,400","$4,124,400"
270.,Ochai Agbaji,"$4,114,200","$4,114,200"
271.,Kobe Bufkin,"$4,094,244","$4,094,244"
272.,Payton Pritchard,"$4,037,277","$4,037,277"
273.,Seth Curry,"$4,000,000","$4,000,000"
273.,Dwight Powell,"$4,000,000","$4,000,000"
273.,Troy Brown,"$4,000,000","$4,000,000"
276.,Moses Moody,"$3,918,480","$3,918,480"
277.,Mark Williams,"$3,908,160","$3,908,160"
278.,Jaden McDaniels,"$3,901,399","$3,901,399"
279.,Keyonte George,"$3,889,776","$3,889,776"
280.,Malachi Flynn,"$3,873,024","$3,873,024"
281.,Desmond Bane,"$3,845,083","$3,845,083"
282.,James Johnson,"$3,839,412","$3,839,412"
283.,Russell Westbrook,"$3,835,738","$3,835,738"
283.,Kevin Love,"$3,835,738","$3,835,738"
285.,Ricky Rubio,"$3,722,327","$3,722,327"
286.,Corey Kispert,"$3,722,040","$3,722,040"
287.,AJ Griffin,"$3,712,920","$3,712,920"
288.,Jalen Hood-Schifino,"$3,695,076","$3,695,076"
289.,Amir Coffey,"$3,666,667","$3,666,667"
290.,Alperen Sengun,"$3,536,280","$3,536,280"
291.,Tari Eason,"$3,527,160","$3,527,160"
292.,Jaime Jaquez,"$3,510,540","$3,510,540"
293.,Andre Drummond,"$3,360,000","$3,360,000"
294.,Trey Murphy,"$3,359,280","$3,359,280"
295.,Brandin Podziemski,"$3,352,404","$3,352,404"
296.,Dalen Terry,"$3,350,760","$3,350,760"
297.,Keon Johnson,"$3,342,765","$3,342,765"
